,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
descuentos,-10%,-10%,-10%,-10%,-35%,-10%,-10%,-10%,-10%,-10%,-10%,-20%,-10%,-10%,-20%,-10%,-50%,-45%,-10%,-25%,-40%,-90%,-75%,-60%,-10%,-10%,-85%,-75%,-20%,-35%,-90%,-85%,-75%,-75%,-88%,-10%,-50%,-88%,-75%,-50%,-50%,-75%,-55%,-67%,-60%,-10%,-10%,-10%,-10%,-10%,-10%,-10%,-5%,-30%,-20%,-45%,Up to -50%,-66%,"<div class=""discount_pct"">-10 ~ 50%</div>","<div class=""discount_pct"">-45%</div>","<div class=""discount_pct"">-70 ~ 80%</div>"
preciosOriginales,"ARS$ 999,99","ARS$ 329,99","ARS$ 179,99","ARS$ 765,00","ARS$ 3.599,00","ARS$ 899,00","ARS$ 279,99","ARS$ 499,99","ARS$ 329,99","ARS$ 199,99","ARS$ 179,99","ARS$ 1.599,00","ARS$ 224,99","ARS$ 149,99","ARS$ 199,99","ARS$ 999,99","ARS$ 1.999,00","ARS$ 439,99","ARS$ 329,99","ARS$ 2.499,00","ARS$ 224,99","ARS$ 3.599,00","ARS$ 1.599,00","ARS$ 279,99","ARS$ 179,99","ARS$ 3.599,00","ARS$ 503,99","ARS$ 179,99","ARS$ 179,99","ARS$ 3.599,00","ARS$ 3.599,00","ARS$ 503,99","ARS$ 1.599,00","ARS$ 799,00","ARS$ 2.499,00","ARS$ 999,99","ARS$ 1.999,00","ARS$ 2.499,00","ARS$ 2.999,00","ARS$ 699,99","ARS$ 419,99","ARS$ 1.521,50","ARS$ 3.999,00","ARS$ 3.499,00","ARS$ 279,99","ARS$ 199,99","ARS$ 899,99","ARS$ 2.499,00","ARS$ 439,99","ARS$ 489,99","ARS$ 3.599,00","ARS$ 329,99","ARS$ 899,99","ARS$ 7.907,99","ARS$ 179,99","ARS$ 53,99","ARS$ 224,99","ARS$ 439,99",,,
preciosFinales,"ARS$ 899,99","ARS$ 296,99","ARS$ 161,99","ARS$ 688,50","ARS$ 2.339,35","ARS$ 809,10","ARS$ 251,99","ARS$ 449,99","ARS$ 296,99","ARS$ 179,99","ARS$ 161,99","ARS$ 1.279,20","ARS$ 202,49","ARS$ 134,99","ARS$ 159,99","ARS$ 899,99","ARS$ 999,50","ARS$ 241,99","ARS$ 296,99","ARS$ 1.874,25","ARS$ 134,99","ARS$ 359,90","ARS$ 399,75","ARS$ 111,99","ARS$ 161,99","ARS$ 3.239,10","ARS$ 75,59","ARS$ 44,99","ARS$ 143,99","ARS$ 2.339,35","ARS$ 359,90","ARS$ 75,59","ARS$ 399,75","ARS$ 199,75","ARS$ 299,88","ARS$ 899,99","ARS$ 999,50","ARS$ 299,88","ARS$ 749,75","ARS$ 349,99","ARS$ 209,99","ARS$ 380,37","ARS$ 1.799,55","ARS$ 1.154,67","ARS$ 111,99","ARS$ 179,99","ARS$ 809,99","ARS$ 2.249,10","ARS$ 395,99","ARS$ 440,99","ARS$ 3.239,10","ARS$ 296,99","ARS$ 854,99","ARS$ 5.535,59","ARS$ 143,99","ARS$ 29,69","ARS$ 76,49","ARS$ 241,99",,,
